sequence,seqid,label
MSVI SVIN VINQ INQM NQML QMLK MLKD LKDL KDLE DLEQ LEQR EQRP QRPQ RPQG PQGG QGGE GGEG GEGA EGAV GAVY AVYV VYVP YVPP VPPV PPVR PVRQ VRQQ RQQG QQGW QGWW GWWM WWML WMLL MLLL LLLT LLTL LTLI TLIC LICG ICGL CGLA GLAL LALG ALGI LGIL GILG ILGW LGWR GWRT WRTW RTWI TWIY WIYW IYWQ YWQQ WQQS QQSQ QSQR SQRV QRVV RVVE VVEA VEAR EARQ ARQL RQLQ QLQA LQAA QAAG AAGE AGEL GELT ELTP LTPD TPDA PDAI DAIA AIAR IARA ARAV RAVP AVPA VPAA PAAV AAVP AVPA VPAS PASA ASAE SAEQ AEQE EQEP QEPV EPVD PVDQ VDQV DQVV QVVA VVAL VALP ALPT LPTP PTPR TPRH PRHL RHLA HLAA LAAP AAPP APPT PPTA PTAE TAEP AEPQ EPQQ PQQA QQAQ QAQQ AQQA QQAQ QAQE AQER QERA ERAA RAAD AADD ADDA DDAD DADV ADVA DVAA VAAI AAID AIDE IDEE DEEG EEGP EGPS GPSD PSDE SDEE DEEL EELQ ELQP LQPD QPDL PDLY DLYA LYAE YAEL AELA ELAA LAAE AAEQ AEQE EQEA QEAP EAPA APAA PAAA AAAP AAPR APRK PRKP RKPG KPGV PGVL GVLK VLKI LKIE KIET IETV ETVN TVNL VNLS NLSE LSEA SEAE EAEL AELA ELAT LATL ATLA TLAE LAER AERK ERKA RKAT KATT ATTA TTAM TAMA AMAK MAKG AKGQ KGQL GQLR QLRD LRDA RDAQ DAQD AQDN QDNY DNYY NYYQ YYQV YQVL QVLA VLAH LAHD AHDP HDPR DPRN PRNQ RNQG NQGA QGAR GARE AREQ REQL EQLA QLAG LAGL AGLL GLLY LLYG LYGE YGEG GEGR EGRL GRLS RLSE LSEA SEAS EASQ ASQL SQLL QLLE LLEE LEEG EEGL EGLR GLRF LRFD RFDP FDPE DPEQ PEQA,VFG038593,VFC0001
MYLN YLNH LNHF NHFG HFGL FGLQ GLQE LQEA QEAP EAPF APFG PFGL FGLT GLTP LTPN TPNT PNTG NTGF TGFY GFYY FYYG YYGL YGLP GLPP LPPH PPHE PHEE HEEA EEAL EALQ ALQV LQVL QVLN VLNW LNWA NWAL WALA ALAQ LAQG AQGE QGEG GEGF EGFI GFIK FIKV IKVT KVTG VTGE TGEV GEVG EVGT VGTG GTGK TGKT GKTL KTLL TLLC LLCR LCRK CRKL RKLL KLLS LLSE LSEL SELG ELGS LGSE GSEE SEER EERP ERPV RPVR PVRL VRLA RLAW LAWL AWLP WLPN LPNP PNPH NPHL PHLN HLNP LNPA NPAE PAEL AELR ELRI LRIA RIAL IALA ALAL LALE ALEL LELG ELGL LGLA GLAV LAVR AVRD VRDQ RDQS DQSE QSEL SELD ELDL LDLT DLTD LTDR TDRI DRIH RIHR IHRH HRHL RHLI HLIA LIAL IALH ALHR LHRQ HRQG RQGS QGSR GSRV SRVV RVVV VVVL VVLI VLID LIDE IDEA DEAQ EAQA AQAL QALP ALPD LPDE PDET DETL ETLE TLEA LEAI EAIR AIRL IRLF RLFG LFGN FGNL GNLE NLET LETE ETES TESS ESSK SSKL SKLL KLLQ LLQI LQIV QIVL IVLF VLFG LFGQ FGQP GQPE QPEL PELD ELDT LDTR DTRL TRLA RLAK LAKP AKPH KPHL PHLR HLRQ LRQL RQLR QLRQ LRQR RQRI QRIG RIGF IGFS GFSY FSYC SYCL YCLR CLRP LRPL RPLR PLRF LRFD RFDE FDET DETR ETRA TRAY RAYL AYLE YLEH LEHR EHRL HRLQ RLQI LQIS QISG ISGY SGYR GYRG YRGA RGAP GAPL APLF PLFG LFGG FGGR GGRA GRAL RALR ALRQ LRQL RQLW QLWR LWRA WRAS RASR ASRG SRGI RGIP GIPR IPRL PRLI RLIN LINI INIL NILA ILAQ LAQK AQKC QKCL KCLM CLML LMLA MLAY LAYG AYGQ,VFG038596,VFC0001
MKKH KKHH KHHL HHLC HLCL LCLI CLIS LISA ISAA SAAV AAVL AVLT VLTA LTAG TAGC AGCT GCTS CTSY TSYR SYRH YRHP RHPE HPEP PEPV EPVQ PVQA VQAK QAKD AKDA KDAL DALR ALRH LRHA RHAM HAMT AMTE MTEQ TEQN EQNK QNKG NKGG KGGA GGAL GALT ALTS LTSV TSVP SVPK VPKS PKSV KSVQ SVQS VQSE QSEL SELL ELLQ LLQL LQLN QLNR LNRP NRPP RPPQ PPQA PQAI QAIS AISM ISMP SMPE MPEP PEPR EPRL PRLR RLRI LRIA RIAA IAAH AAHD AHDV HDVD DVDA VDAV DAVE AVEF VEFF EFFG FFGS FGSL GSLF SLFK LFKG FKGS KGSR GSRY SRYS RYSV YSVA SVAV VAVH AVHP VHPG HPGV PGVA GVAG VAGQ AGQI GQIS QISV ISVE SVEL VELK ELKD LKDV KDVT DVTL VTLT TLTE LTEV TEVL EVLA VLAV LAVV AVVG VVGD VGDM GDMY DMYG MYGF YGFD GFDV FDVQ DVQR VQRK QRKG RKGN KGNV GNVF NVFH VFHV FHVY HVYP VYPA YPAG PAGL AGLR GLRT LRTE RTET TETI ETIP TIPV IPVN PVNY VNYL NYLM YLMM LMMS MMSR MSRR SRRG RRGL RGLS GLSR LSRT SRTS RTSV TSVS SVST VSTG STGG TGGV GGVT GVTA VTAN TAND ANDN NDNN DNNG NNGN NGNS GNSN NSNS SNSF NSFD SFDN FDNA DNAN NANN ANNS NNST NSTN STNN TNNN NNNS NNST NSTS STSN TSNR SNRS NRSS RSSN SSNG SNGS NGSS GSSN SSNS SNSD NSDS SDSN DSNG SNGT NGTR GTRI TRIE RIET IETD ETDT TDTS DTSS TSSD SSDY SDYW DYWT YWTD WTDL TDLR DLRD LRDT RDTL DTLQ TLQT LQTL QTLI TLIG LIGS IGSG GSGD SGDG GDGR DGRA GRAV RAVI AVIT VITS ITSP TSPQ SPQA PQAG QAGL,VFG038600,VFC0001
MSLK SLKE LKEQ KEQW EQWQ QWQA WQAW QAWA AWAD WADK ADKI DKIA KIAA IAAL AALS ALSQ LSQR SQRE QRER RERV ERVL RVLI VLIL LILL ILLT LLTG LTGV TGVV GVVV VVVV VVVG VVGA VGAV GAVA AVAI VAIY AIYG IYGW YGWL GWLD WLDG LDGA DGAA GAAV AAVR AVRL VRLE RLEQ LEQE EQER QERL ERLA RLAL LALS ALST LSTT STTQ TTQR TQRD QRDL RDLE DLEI LEIM EIMD IMDL MDLE DLEN LENQ ENQG NQGK QGKQ GKQA KQAK QAKL AKLA KLAR LARD ARDP RDPD DPDL PDLH DLHV LHVR HVRT VRTQ RTQL TQLT QLTQ LTQL TQLD QLDG LDGE DGEL GELG ELGK LGKL GKLD KLDA LDAE DAEL AELK ELKA LKAQ KAQT AQTV QTVD TVDL VDLI DLIQ LIQA IQAH QAHE AHEM HEMP EMPA MPAV PAVL AVLE VLEA LEAL EALL ALLS LLSR LSRS SRSA RSAN SANL ANLH NLHM LHMV HMVA MVAL VALT ALTS LTSL TSLT SLTP LTPE TPEP PEPL EPLM PLMA LMAG MAGE AGEQ GEQR EQRI QRIN RINL INLF NLFK LFKH FKHG KHGI HGIR GIRL IRLK RLKL LKLE KLEG LEGG EGGY GGYF GYFD YFDV FDVY DVYQ VYQY YQYL QYLK YLKA LKAL KALE ALEG LEGL EGLP GLPR LPRH PRHF RHFY HFYW FYWK YWKQ WKQF KQFD QFDY FDYQ DYQV YQVQ QVQE VQEY QEYP EYPK YPKA PKAV KAVV AVVE VVEM VEME EMEI MEIY EIYT IYTL YTLS TLST LSTS STSK TSKE SKEF KEFI EFIR FIRG,VFG038607,VFC0001
MKRQ KRQI RQIN QINL INLY NLYG LYGA YGAE GAEF AEFR EFRP FRPR RPRR PRRQ RRQW RQWA QWAS WASL ASLN SLNQ LNQM NQMA QMAL MALV ALVW LVWG VWGG WGGS GGSV GSVL SVLL VLLL LLLL LLLC LLCA LCAA CAAG AAGV AGVI GVIA VIAW IAWQ AWQQ WQQH QQHV QHVV HVVG VVGR VGRE GREL RELV ELVQ LVQV VQVR QVRA VRAA RAAL AALE ALEI LEIK EIKR IKRG KRGE RGEA GEAQ EAQR AQRL QRLD RLDA LDAE DAEL AELA ELAR LARH ARHQ RHQA HQAD QADG ADGL DGLL GLLQ LLQQ LQQQ QQQL QQLA QLAT LATK ATKQ TKQE KQEE QEEL EELT ELTA LTAK TAKQ AKQG KQGL QGLM GLMR LMRQ MRQL RQLG QLGS LGSL GSLA SLAL LALQ ALQK LQKS QKSQ KSQG SQGY QGYA GYAG YAGL AGLM GLMA LMAD MADL ADLS DLSR LSRI SRIR RIRD IRDP RDPQ DPQL PQLS QLSL LSLQ SLQR LQRI QRIE RIEI IEIA EIAD IADG ADGY DGYV GYVN YVNL VNLS NLSG LSGF SGFA GFAG FAGR AGRS GRSQ RSQD SQDV QDVP DVPA VPAW PAWV AWVN WVNR VNRF NRFK RFKQ FKQT KQTP QTPS TPSL PSLA SLAG LAGK AGKQ GKQF KQFG QFGE FGEL GELT ELTL LTLS TLSR LSRD SRDK RDKE DKEG KEGR EGRL GRLA RLAF LAFQ AFQL FQLS QLSG LSGI SGIE GIER IERE EREK REKP,VFG038611,VFC0001
MKQF KQFF QFFR FFRR FRRS RRST RSTP STPS TPSR PSRQ SRQV RQVG QVGL VGLL GLLL LLLA LLAS LASD ASDR SDRI DRIM RIML IMLA MLAS LASL ASLG SLGN LGNP GNPP NPPI PPIF PIFA IFAT FATR ATRA TRAI RAIN AING INGP NGPQ GPQE PQEW QEWP EWPQ WPQA PQAM QAMA AMAE MAEL AELF ELFS LFSR FSRH SRHG RHGL HGLA GLAK LAKS AKSK KSKV SKVR KVRV VRVA RVAL VALA ALAA LAAS AASL ASLY SLYQ LYQQ YQQV QQVQ QVQI VQID QIDK IDKP DKPA KPAV PAVP AVPD VPDA PDAE DAEM AEMA EMAG MAGA AGAL GALP ALPW LPWA PWAI WAIK AIKD IKDY KDYV DYVS YVSE VSES SESV ESVL SVLQ VLQL LQLA QLAM LAMD AMDY MDYV DYVD YVDL VDLP DLPT LPTP PTPP TPPA PPAG PAGR AGRP GRPR RPRI PRIN RINV INVI NVIC VICV ICVP CVPK VPKA PKAR KARV ARVQ RVQQ VQQL QQLA QLAD LADA ADAV DAVN AVNG VNGI NGIA GIAS IASL ASLD SLDA LDAI DAIV AIVS IVSD VSDE SDEL DELA ELAM LAMT AMTA MTAL TALY ALYE LYEP YEPD EPDQ PDQT DQTV QTVR TVRM VRML RMLL MLLW LLWQ LWQP WQPK QPKG PKGQ KGQD GQDL QDLQ DLQL LQLL QLLV LLVF LVFH VFHQ FHQG HQGG QGGL GGLC GLCF LCFS CFSR FSRQ SRQL RQLR QLRG LRGF RGFG GFGA FGAL GALT ALTG LTGE TGEH GEHE EHEP HEPD EPDA PDAM DAML AMLL MLLD LLDS LDSL DSLA SLAL LALE ALEI LEIQ EIQR IQRS QRSL RSLD SLDY LDYL DYLV YLVG LVGQ VGQL GQLK QLKL LKLP KLPE LPEL PELG ELGQ LGQM GQMQ QMQL MQLA QLAI LAIA AIAS IASP ASPF SPFI PFIG FIGT IGTL GTLV TLVR,VFG038615,VFC0001
MTST TSTP STPS TPSS PSSS SSSS SSSG SSGL SGLN GLNV LNVD NVDS VDSG DSGT SGTL GTLQ TLQA LQAV QAVP AVPL VPLY PLYR LYRQ YRQD RQDE QDEL DELL ELLN LLNW LNWI NWIE WIEQ IEQG EQGR QGRH GRHL RHLQ HLQQ LQQV QQVK QVKQ VKQD KQDR QDRC DRCQ RCQL CQLT QLTQ LTQD TQDI QDIE DIEV IEVR EVRA VRAE RAEV AEVM EVMK VMKV MKVP KVPA VPAY PAYQ AYQF YQFL QFLW FLWG LWGD WGDM GDML DMLA MLAW LAWG AWGV WGVC GVCI VCIK CIKP IKPN KPNA PNAE NAEL AELG ELGV LGVK GVKF VKFM KFMW FMWE MWEA WEAA EAAN AANQ ANQG NQGL QGLA GLAP LAPA APAL PALE ALEQ LEQL EQLG QLGR LGRY GRYY RYYW YYWK YWKG WKGT KGTL GTLV TLVQ LVQK VQKD QKDL KDLL DLLK LLKA LKAE KAET AETL ETLM TLMR LMRE MREA REAA EAAS AASL ASLG SLGF LGFQ GFQR FQRA QRAQ RAQI AQIE QIEW IEWV EWVE WVEM VEML EMLL MLLQ LLQG LQGM QGMG GMGS MGSP GSPL SPLD PLDY LDYE DYEE YEEA EEAY EAYH AYHW YHWL HWLH WLHS LHST HSTV STVI TVIG VIGD IGDK GDKA DKAL KALH ALHQ LHQK HQKA QKAT KATS ATSL TSLL SLLS LLSR LSRL SRLG RLGN LGNR GNRM NRMP RMPA MPAN PANA ANAI NAIA AIAR IARA ARAK RAKA AKAM KAMH,VFG038619,VFC0001
MAND ANDQ NDQN DQNG QNGE NGEL GELL ELLM LLMN LMND MNDE NDEG DEGS EGSA GSAA SAAL AALD ALDE LDEN DENE ENEQ NEQK EQKS QKSS KSSA SSAL SALG ALGF LGFL GFLS FLSN LSNT SNTD NTDV TDVL DVLR VLRQ LRQI RQIT QITL ITLI TLIL LILG ILGL LGLA GLAI LAIC AICL ICLA CLAI LAIA AIAV IAVF AVFI VFIL FILL ILLW LLWG LWGK WGKE GKEP KEPD EPDM PDMR DMRP MRPL RPLG PLGT LGTY GTYT TYTT YTTQ TTQE TQEL QELV ELVK LVKT VKTL KTLD TLDY LDYL DYLD YLDQ LDQQ DQQK QQKI QKIP KIPY IPYQ PYQV YQVD QVDG VDGK DGKS GKSV KSVL SVLV VLVS LVSA VSAE SAEN AENY ENYS NYSS YSSI SSIR SIRL IRLA RLAL LALT ALTR LTRA TRAG RAGL AGLA GLAN LANA ANAT NATD ATDT TDTT DTTS TTSD TSDG SDGE DGED GEDI EDIL DILL ILLK LLKD LKDS KDSS DSSF SSFG SFGV FGVS GVSQ VSQR SQRM QRME RMES MESE ESER SERL ERLK RLKL LKLS KLSR LSRE SRER RERQ ERQL RQLA QLAS LASA ASAI SAIE AIEQ IEQF EQFQ QFQN FQNV QNVA NVAK VAKA AKAQ KAQV AQVL QVLL VLLA LLAI LAIP AIPK IPKD PKDN KDNV DNVF NVFA VFAR FARN ARNE RNER NERK ERKP RKPS KPSA PSAT SATV ATVV TVVL VVLS VLSL LSLK SLKG LKGN KGNA GNAL NALG ALGQ LGQG GQGE QGEV GEVD EVDS VDSI DSIV SIVD IVDM VDMV DMVA MVAS VASA ASAV SAVH AVHG VHGL HGLE GLEP LEPT EPTR PTRV TRVT RVTV VTVT TVTD VTDQ TDQN DQNG QNGR NGRL GRLL RLLN LLNS LNSG NSGS SGSQ GSQD SQDP QDPV DPVS PVSA VSAQ SAQT AQTR QTRK TRKE RKEF,VFG038627,VFC0001
MADE ADEN DENK ENKT NKTQ KTQV TQVT QVTG VTGN TGND GNDI NDIT DITD ITDS TDSQ DSQR SQRQ QRQI RQIL QILD ILDQ LDQM DQMS QMSG MSGM SGME GMEM MEMA EMAA MAAV AAVL AVLM VLML LMLS MLSL LSLN SLNE LNEE NEED EEDA EDAA DAAQ AAQI AQIF QIFR IFRH FRHL RHLE HLEP LEPK EPKQ PKQV KQVQ QVQR VQRL QRLG RLGM LGMS GMSM MSMA SMAS MASM ASMS SMSD MSDF SDFS DFSH FSHD SHDR HDRV DRVA RVAA VAAV AAVH AVHR VHRQ HRQF RQFI QFID FIDD IDDI DDIQ DIQK IQKY QKYT KYTN YTNI TNIG NIGI IGIG GIGS IGSE GSED SEDF EDFV DFVR FVRK VRKA RKAL KALV ALVA LVAA VAAL AALG ALGE LGED GEDK EDKA DKAS KASN ASNL SNLV NLVD LVDQ VDQI DQII QIIL IILG ILGS LGSG GSGA SGAR GARG ARGL RGLD GLDS LDSL DSLK SLKW LKWM KWMD WMDA MDAR DARQ ARQV RQVA QVAS VASI ASII SIIQ IIQN IQNE QNEH NEHP EHPQ HPQI PQIQ QIQT IQTI QTIV TIVL IVLS VLSY LSYL SYLE YLEP LEPE EPEQ PEQS EQSA QSAE SAEI AEIL EILS ILSQ LSQF SQFP QFPE FPEQ PEQV EQVR QVRL VRLD RLDL LDLV DLVM LVMR VMRI MRIA RIAN IANL ANLE NLEE LEEV EEVQ EVQP VQPA QPAA PAAL AALQ ALQE LQEL QELN ELND LNDI NDIM DIME IMEK MEKQ EKQF KQFA QFAG FAGA AGAA GAAG AAGA AGAQ GAQA AQAA QAAK AAKM AKMG KMGG MGGL GGLK GLKA LKAA KAAA AAAN AANI ANIM NIMN IMNY MNYL NYLD YLDT LDTN DTNI TNIE NIEG IEGQ EGQL GQLM QLMD LMDS MDSI DSIR SIRE IRES RESD ESDE SDEE DEEM EEMS EMSQ MSQQ SQQI QQIQ,VFG038631,VFC0001
MNNN NNNK NNKL NKLR KLRG LRGY RGYV GYVR YVRP VRPD RPDG PDGD DGDE GDES DESQ ESQV SQVQ QVQT VQTW QTWG TWGW WGWP GWPE WPEM PEME EMEV MEVE EVEA VEAE EAEV AEVE EVET VETN ETNA TNAL NALG ALGL LGLT GLTP LTPD TPDW PDWY DWYR WYRQ YRQE RQEE QEEE EEEV EEVP EVPV VPVE PVEE VEEP EEPV EPVE PVEE VEEP EEPA EPAP PAPS APSI PSIT SITA ITAE TAEE AEEL EELE ELEA LEAI EAIR AIRQ IRQA RQAA QAAW AAWE AWEE WEEG EEGM EGMA GMAE MAEG AEGR EGRD GRDA RDAG DAGY AGYA GYAK YAKG AKGL KGLE GLEE LEEG EEGK EGKL GKLE KLEG LEGL EGLQ GLQQ LQQG QQGH QGHA GHAA HAAG AAGL AGLE GLEQ LEQG EQGK QGKE GKEE KEEG EEGL EGLA GLAL LALG ALGR LGRE GREL RELV ELVD LVDQ VDQQ DQQM QQMS QMSH MSHW SHWQ HWQG WQGL QGLI GLID LIDR IDRL DRLA RLAN LANP ANPL NPLK PLKE LKEL KELD ELDG LDGA DGAV GAVE AVEQ VEQQ EQQL QQLI QLIA LIAL IALV ALVM LVMQ VMQL MQLA QLAR LARA ARAL RALI ALIR LIRH IRHE RHEA HEAE EAET AETS ETSP TSPR SPRL PRLL RLLL LLLE LLEA LEAL EALK ALKQ LKQG KQGL QGLA GLAL LALL ALLP LLPA LPAA PAAE AAEL AELG ELGV LGVT GVTL VTLM TLML LMLH MLHP LHPD HPDD PDDL DDLA DLAR LARV ARVE RVEQ VEQA EQAF QAFG AFGA FGAE GAEE AEEC EECA ECAK CAKR AKRH KRHW RHWR HWRL WRLQ RLQS LQSD QSDP SDPT DPTL PTLS TLSP LSPG SPGD PGDL GDLQ DLQL LQLA QLAT LATE ATEL TELS ELSS LSSI SSID SIDL IDLT DLTL LTLA TLAG LAGR AGRI GRID,VFG038635,VFC0001
MSGS SGSL GSLL SLLN LLNR LNRL NRLQ RLQG LQGY QGYR GYRV YRVR RVRD VRDI RDIA DIAP IAPK APKP PKPP KPPV PPVA PVAG VAGK AGKL GKLT KLTR LTRV TRVV RVVG VVGL VGLT GLTL LTLE TLEA LEAI EAIG AIGC IGCR GCRA CRAA RAAI AAIG AIGA IGAL GALC ALCR LCRI CRID RIDT IDTQ DTQD TQDG QDGS DGSL GSLE SLEA LEAE EAEV AEVV EVVG VVGF VGFS GFSG FSGD SGDR GDRL DRLF RLFL LFLM FLMP LMPS MPSE PSEQ SEQL EQLK QLKG LKGV KGVI GVIP VIPG IPGA PGAR GARV ARVV RVVP VVPI VPIT PITE ITEE TEEH EEHG EHGI HGIP GIPV IPVG PVGM VGMN GMNL MNLL NLLG LLGR LGRV GRVI RVID VIDG IDGI DGIG GIGQ IGQP GQPL QPLD PLDG LDGL DGLG GLGP LGPI GPIL PILS ILSS LSSQ SSQT SQTV QTVQ TVQF VQFA QFAQ FAQH AQHR QHRI HRIN RINP INPL NPLS PLSR LSRR SRRP RRPI RPIH PIHQ IHQP HQPM QPMD PMDV MDVG DVGV VGVR GVRA VRAI RAIN AINA INAV NAVL AVLT VLTV LTVG TVGQ VGQG GQGQ QGQR GQRM QRMG RMGL MGLF GLFA LFAG FAGS AGSG GSGV SGVG GVGK VGKS GKSV KSVL SVLL VLLG LLGM LGMM GMMT MMTR MTRG TRGS RGSV GSVA SVAD VADV ADVV DVVV VVVV VVVG VVGL VGLI GLIG LIGE IGER GERG ERGR RGRE GREV REVK EVKE VKEF KEFI EFIE FIEE IEEI EEIL EILG ILGE LGEE GEEG EEGR EGRA GRAR RARS ARSV RSVV SVVV VVVA VVAA VAAP AAPA APAD PADA ADAS DASP ASPL SPLM PLMR LMRL MRLK RLKG LKGC KGCE GCET CETA ETAL TALA ALAI LAIA AIAE IAEY AEYF EYFR YFRD FRDQ RDQG DQGL QGLN,VFG038639,VFC0001
MMQT MQTL QTLL TLLT LLTN LTNS TNSP NSPA SPAA PAAP AAPT APTA PTAA TAAA AAAA AAAD AADK ADKS DKSA KSAV SAVL AVLT VLTA LTAS TASQ ASQD SQDG QDGG DGGE GGEG GEGA EGAL GALQ ALQS LQSD QSDG SDGK DGKV GKVG KVGF VGFS GFSE FSEV SEVM EVMN VMNR MNRV NRVQ RVQQ VQQA QQAD QADK ADKV DKVN KVNA VNAK NAKA AKAD KADG ADGK DGKA GKAP KAPA APAR PARP ARPG RPGA PGAE GAEQ AEQG EQGN QGNV GNVG NVGA VGAA GAAE AAES AESN ESNK SNKP NKPV KPVP PVPT VPTA PTAK TAKG AKGE KGEA GEAA EAAK AAKS AKSL KSLA SLAN LANE ANEA NEAE EAEE AEEA EEAG EAGN AGNA GNAD NADD ADDK DDKP DKPQ KPQK PQKG QKGS KGSE GSEP SEPD EPDP PDPA DPAL PALT ALTP LTPN TPND PNDF NDFL DFLQ FLQR LQRL QRLQ RLQD LQDA QDAL DALK ALKQ LKQD KQDT QDTS DTSL TSLV SLVA LVAP VAPP APPA PPAI PAIN AINL INLV NLVA LVAT VATA ATAP TAPV APVV PVVE VVET VETD ETDG TDGK DGKM GKML KMLP MLPQ LPQE PQED QEDA EDAD DADA ADAE DAES AESA ESAE SAEA AEAS EASA ASAT SATL ATLT TLTQ LTQP TQPL QPLA PLAG LAGS AGSS GSSD SSDK SDKQ DKQG KQGA QGAT GATT ATTS TTSA TSAA SAAA AAAL AALA ALAR LARQ ARQA RQAA QAAS AASL ASLL SLLT LLTG LTGD TGDT GDTS DTSV TSVP SVPV VPVD PVDA VDAK DAKA AKAA KAAQ AAQP AQPD QPDA PDAV DAVV AVVT VVTD VTDD TDDA DDAA DAAL AALT ALTA LTAQ TAQL AQLQ QLQE LQET QETG ETGK TGKE GKEG KEGS EGSG GSGK SGKE GKEN KENG ENGA NGAG GAGG AGGA GGAN,VFG038647,VFC0001
MADD ADDN DDNE DNEL NELT ELTL LTLK TLKD LKDP KDPA DPAA PAAG AAGK AGKK GKKK KKKK KKKL KKLI KLIM LIMI IMII MIIA IIAL IALA ALAV LAVI AVIV VIVL IVLG VLGG LGGG GGGG GGGA GGAG GAGA AGAW GAWF AWFM WFML FMLS MLSG LSGG SGGD GGDK GDKP DKPA KPAA PAAE AAEA AEAA EAAG AAGE AGEG GEGK EGKD GKDA KDAK DAKP AKPK KPKE PKEA KEAA EAAP AAPQ APQP PQPS QPSL PSLY SLYV LYVG YVGM VGMP GMPR MPRP PRPF RPFV PFVF FVFN VFNV FNVS NVSG VSGG SGGQ GGQR GQRD QRDR RDRL DRLV RLVQ LVQI VQIK QIKI IKIQ KIQL IQLM QLMV LMVR MVRG VRGT RGTA GTAD TADE ADET DETL ETLA TLAK LAKQ AKQN KQNI QNIP NIPL IPLI PLIE LIEG IEGT EGTL GTLL TLLR LLRV LRVF RVFS VFSA FSAA SAAT AATS ATSE TSEQ SEQL EQLM QLMT LMTF MTFE TFEG FEGK EGKE GKEK KEKL EKLR KLRK LRKD RKDS KDSL DSLE SLEE LEEC EECR ECRR CRRV RRVL RVLN VLND LNDL NDLV DLVS LVSS VSSP SSPV SPVI PVIE VIEQ IEQV EQVL QVLF VLFT LFTG FTGF TGFV GFVM FVMQ,VFG038651,VFC0001
MSDL SDLL DLLS LLSQ LSQD SQDE QDEI DEID EIDA IDAL DALL ALLH LLHG LHGV HGVD GVDD VDDV DDVE DVEE VEEE EEEE EEEI EEIG EIGA IGAA GAAG AAGD AGDP GDPG DPGV PGVA GVAQ VAQF AQFD QFDF FDFS DFSS FSSQ SSQD SQDR QDRI DRIV RIVR IVRG VRGR RGRM GRMP RMPT MPTL PTLE TLEL LELV ELVN LVNE VNER NERF ERFA RFAR FARH ARHM RHMR HMRI MRIS RISL ISLF SLFN LFNM FNMM NMMR MMRR MRRT RRTA RTAE TAEV AEVS EVSI VSIN SING INGV NGVQ GVQM VQML QMLK MLKF LKFG KFGE FGEY GEYV EYVH YVHT VHTL HTLF TLFV LFVP FVPT VPTS PTSL TSLN SLNM LNMV NMVR MVRF VRFR RFRP FRPL RPLK PLKG LKGT KGTA GTAL TALI ALIT LITM ITME TMEA MEAR EARL ARLV RLVF LVFI VFIL FILV ILVE LVEN VENF ENFF NFFG FFGG FGGD GGDG GDGR DGRY GRYH RYHA YHAK HAKI AKIE KIEG IEGR EGRE GREF REFT EFTP FTPT TPTE PTER TERR ERRI RRII RIIQ IIQM IQML QMLL MLLK LLKL LKLV KLVF LVFE VFED FEDY EDYK DYKD YKDA KDAW DAWA AWAP WAPV APVM PVMD VMDV MDVG DVGF VGFE GFEY FEYL EYLD YLDS LDSE DSEV SEVN EVNP VNPA NPAM PAMA AMAN MANI ANIV NIVS IVSP VSPT SPTE PTEV TEVI EVIV VIVV IVVS VVSS VSSF SSFH SFHI FHIE HIEL IELD ELDG LDGG DGGG GGGG GGGD GGDF GDFH DFHV FHVA HVAM VAMP AMPY MPYS PYSM YSML SMLE MLEP LEPI EPIR PIRE IREL RELL ELLD LLDA LDAG DAGV AGVQ GVQS VQSD QSDK SDKG DKGD KGDT GDTD DTDV TDVR DVRW VRWS RWSK WSKA SKAL KALR ALRD LRDE RDEI,VFG038655,VFC0001
